,question,top_0,top_1,top_2,top_3,top_4,SQL Query,ground_truth,execution_time,ground_truth_validity,SQL Query Execution Validity,SQL Query Results,ground_truth_results,Cosine Similarity Generated vs True,SQL Query Critic Score
0,What was the value of the consumer price index in May 2023?,"['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8401457228840662]","['How much did food prices go up between 2019 and 2022?', 0.8070899664439849]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7859798106182708]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.7823644001647774]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.7774585203038719]",SELECT value FROM bls_consumer_price_index WHERE year = 2023 AND period_name = 'May' AND item_name = 'All items' AND area_name = 'U.S. city average' AND seasonal = 'Not Seasonally Adjusted',SELECT value FROM bls_consumer_price_index WHERE area_name = 'U.S. city average' AND item_name = 'All items' AND seasonal = 'Seasonally Adjusted' AND year = 2023 AND period_name = 'May',3.2973933710018173,True,1,"[(304.127,)]","[(303.294,)]",0.936544878639633,1.0
1,How much did food prices go up between 2019 and 2022?,"['What was the value of the consumer price index in May 2023?', 0.8048366128860379]","['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8005117285846762]","['How has the cost of living increased in different areas of the country over the last 5 years?', 0.7858319033405086]","['Where have prices increased the most? The least?', 0.7852035706790753]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.7823881956863964]","SELECT ((cpi_2022.value - cpi_2019.value) / cpi_2019.value) AS inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2019 
WHERE cpi_2022.item_name = 'Food' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_type = 'Nationwide' 
AND cpi_2019.item_name = 'Food' 
AND cpi_2019.year = 2019 
AND cpi_2019.period_name = 'Annual' 
AND cpi_2019.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2019.area_type = 'Nationwide';","SELECT (cpi_2022.value - cpi_2019.value)/cpi_2019.value as rate_of_inflation  FROM bls_consumer_price_index as cpi_2019, bls_consumer_price_index as cpi_2022  WHERE cpi_2019.area_name = 'U.S. city average'  AND cpi_2019.item_name = 'Food'  AND cpi_2019.seasonal = 'Seasonally Adjusted'  AND cpi_2019.year = 2019 AND cpi_2019.period_name = 'January' AND cpi_2022.area_name = 'U.S. city average'  AND cpi_2022.item_name = 'Food'  AND cpi_2022.seasonal = 'Seasonally Adjusted'  AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'December'",23.496466492000764,True,1,[],"[(0.24011375,)]",0.7645978312912696,1.0
5,What is the unemployment rate in Denver CO?,"['What was the unemployment rate in 2018?', 0.8416307766496377]","['What was the unemployment rate for men and women in 2018?', 0.8269119725197508]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8147489080968486]","['What is the employment rate trend over the years in the US?', 0.8137307000988016]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8116218271024318]","SELECT value as unemployment_rate FROM bls_labor_force_statistics WHERE area_name = 'Denver, CO' AND period_name = 'Annual' AND year = 2022 AND labor_force_status = 'Unemployment rate'","SELECT value as unemployment_rate FROM bls_local_area_unemployment_statistics WHERE area_type = 'cities and towns above 25,000 population' AND area_name = 'Denver County/city, CO' AND year = 2022 AND period_name = 'Annual' AND measure = 'unemployment rate'",3.0393566460006696,True,0,Error,"[(0.031,)]",0.7495315693182395,0.0
6,Is the economy growing?,"['What is the employment rate trend over the years in the US?', 0.8075428590142589]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.8061826356873527]","['Is the cost of living rising?', 0.7946257538302713]","['How is the US job market?', 0.7927940666694925]","['What percentage of the population is working or actively seeking work?', 0.7917276918310648]",SELECT (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter as gdp_q4_2022 INNER JOIN bea_gross_domestic_product_by_quarter as gdp_q3_2022 ON gdp_q4_2022.area_name = gdp_q3_2022.area_name WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3' AND gdp_q3_2022.area_type = 'Nationwide',"SELECT (1 + (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value)^4 -1 as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter gdp_q4_2022, bea_gross_domestic_product_by_quarter gdp_q3_2022 WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.area_type = 'Nationwide' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3'",17.318806945000688,True,1,"[(0.006373964,)]","[(0.02574065710491391,)]",0.9598729440362666,1.0
7,Is the cost of living rising?,"['How has the cost of living increased in different areas of the country over the last 5 years?', 0.8524020513892103]","['How much did food prices go up between 2019 and 2022?', 0.8056063797104057]","['Is the economy growing?', 0.7911544936383273]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7898387409439606]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.789537267867904]","SELECT (cpi_current.value - cpi_previous.value)/cpi_previous.value as inflation_rate FROM bls_consumer_price_index as cpi_current, bls_consumer_price_index as cpi_previous WHERE cpi_current.area_name = 'U.S. city average' AND cpi_current.item_name = 'All items' AND cpi_current.seasonal = 'Not Seasonally Adjusted' AND cpi_current.year = 2022 AND cpi_current.period_name = 'Annual' AND cpi_previous.area_name = 'U.S. city average' AND cpi_previous.item_name = 'All items' AND cpi_previous.seasonal = 'Not Seasonally Adjusted' AND cpi_previous.year = 2021 AND cpi_previous.period_name = 'Annual'","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",13.03848349799955,True,1,"[(0.0800273,)]","[(0.03177783,)]",0.9620986239503385,1.0
8,How is the US job market?,"['What is the employment rate trend over the years in the US?', 0.858108872220653]","['What percentage of the population is working or actively seeking work?', 0.8120488446041673]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8065966704954184]","['What was the unemployment rate in 2018?', 0.8062585360756721]","['What was the unemployment rate for men and women in 2018?', 0.7981362126166884]","SELECT year, value as employment_rate FROM bls_current_employment WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' ORDER BY year DESC LIMIT 1;","SELECT (real_earnings_2023.value - real_earnings_2022.value)/real_earnings_2022.value as real_wage_change, (nominal_earnings_2023.value - nominal_earnings_2022.value)/nominal_earnings_2022.value as nominal_wage_change FROM bls_current_employment real_earnings_2023, bls_current_employment real_earnings_2022, bls_current_employment nominal_earnings_2023, bls_current_employment nominal_earnings_2022 WHERE real_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2023.supersector_name = 'Total private' AND real_earnings_2023.seasonal = 'Seasonally Adjusted' AND real_earnings_2023.year = 2023 AND real_earnings_2023.period_name = 'July' AND real_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2022.supersector_name = 'Total private' AND real_earnings_2022.seasonal = 'Seasonally Adjusted' AND real_earnings_2022.year = 2022 AND real_earnings_2022.period_name = 'July' AND nominal_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2023.supersector_name = 'Total private' AND nominal_earnings_2023.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2023.year = 2023 AND nominal_earnings_2023.period_name = 'July' AND nominal_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2022.supersector_name = 'Total private' AND nominal_earnings_2022.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2022.year = 2022 AND nominal_earnings_2022.period_name = 'July' -- this query calculates the percent change in real (inflation-adjusted) and nominal wages over the last year, using the most recently-available month and year (July 2023)",5.057314652996865,True,1,"[(2022, 152575010.0)]","[(0.010938914, 0.043612737)]",0.8621972904615738,1.0
9,What is the inflation rate?,"['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8373954576432748]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.8240185982192102]","['How does inflation in the Miami area compare to the rest of the United States?', 0.8005391992470435]","['What was the unemployment rate in 2018?', 0.7909716559044797]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7832763384759945]","SELECT ((cpi_current.value - cpi_previous.value)/cpi_previous.value) as inflation_rate 
FROM bls_consumer_price_index cpi_current, bls_consumer_price_index cpi_previous 
WHERE cpi_current.item_name = 'All items' 
AND cpi_current.year = (SELECT MAX(year) FROM bls_consumer_price_index) 
AND cpi_current.period_name = 'Annual' 
AND cpi_current.seasonal = 'Not Seasonally Adjusted' 
AND cpi_current.area_type = 'Total' 
AND cpi_previous.item_name = 'All items' 
AND cpi_previous.year = (SELECT MAX(year) - 1 FROM bls_consumer_price_index) 
AND cpi_previous.period_name = 'Annual' 
AND cpi_previous.seasonal = 'Not Seasonally Adjusted' 
AND cpi_previous.area_type = 'Total' 
AND cpi_current.area_name = cpi_previous.area_name;","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",11.368895716001134,True,1,[],"[(0.03177783,)]",0.7687304901113899,1.0
10,Where have prices increased the most? The least?,"['How has the cost of living increased in different areas of the country over the last 5 years?', 0.8148347866510974]","['How much did food prices go up between 2019 and 2022?', 0.8086715501762166]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.7934005829673346]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.7917142737339412]","['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.7848001931895074]","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value) / cpi_2017.value) AS inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type = 'Region' AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type = 'Region' AND cpi_2022.area_name = cpi_2017.area_name ORDER BY inflation_rate DESC LIMIT 1
UNION
SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value) / cpi_2017.value) AS inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type = 'Region' AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type = 'Region' AND cpi_2022.area_name = cpi_2017.area_name ORDER BY inflation_rate ASC LIMIT 1;","(SELECT t.item_name, (t.current_value - t.prev_value)/t.prev_value as inflation_rate, 'Top 5' as top_bottom FROM ( select item_name, period_name as month, year, value as current_value, LAG(value) OVER (PARTITION BY item_name ORDER BY year ASC) as prev_value from bls_consumer_price_index where area_name = 'U.S. city average' and year in (2022, 2023) and period_name = 'July' and seasonal = 'Not Seasonally Adjusted' ) as t WHERE t.year = 2023 ORDER BY (t.current_value - t.prev_value)/t.prev_value DESC NULLS LAST LIMIT 5) UNION (SELECT t.item_name, (t.current_value - t.prev_value)/t.prev_value as inflation_rate, 'Bottom 5' as top_bottom FROM ( select item_name, period_name as month, year, value as current_value, LAG(value) OVER (PARTITION BY item_name ORDER BY year ASC) as prev_value from bls_consumer_price_index where area_name = 'U.S. city average' and year in (2022, 2023) and period_name = 'July' and seasonal = 'Not Seasonally Adjusted' ) as t WHERE t.year = 2023 ORDER BY (t.current_value - t.prev_value)/t.prev_value ASC LIMIT 5) -- this query calculates the rate of inflation for each product category over the last year using the most recently-available month and year (July 2023) and shows the 5 product categories with the highest and lowest increases",30.165569881999545,True,0,Error,"[('Motor vehicle insurance', 0.17752075, 'Top 5'), ('Transportation services', 0.09028891, 'Top 5'), ('Shelter', 0.07689018, 'Top 5'), ('Motor fuel', -0.20213823, 'Bottom 5'), ('Motor vehicle maintenance and repair', 0.12651664, 'Top 5'), ('Rent of primary residence', 0.08034054, 'Top 5'), ('Airline fares', -0.18592243, 'Bottom 5'), ('Energy commodities', -0.20291561, 'Bottom 5'), ('Fuel oil', -0.26538286, 'Bottom 5'), ('Gasoline (all types)', -0.19871667, 'Bottom 5')]",0.7010115577460752,0.0
11,How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?,"['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8458967678914869]","['How has the cost of living increased in different areas of the country over the last 5 years?', 0.8453759192378124]","['How does inflation in the Miami area compare to the rest of the United States?', 0.8408165433403073]","['What is the inflation rate?', 0.8205325416017196]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.7983537655054906]","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value) / cpi_2017.value) AS inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_name IN ('U.S. city average', 'Specific City Name') AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_name IN ('U.S. city average', 'Specific City Name') AND cpi_2022.area_name = cpi_2017.area_name ORDER BY INFLATION_RATE DESC LIMIT 10 -- retrieves the overall inflation rate from 2017 to 2022 (the most recent 5 years) for the US city average and a specific city. Replace 'Specific City Name' with the name of the city you want to compare.","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value)/cpi_2017.value) as inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type IN ('Metro', 'Total') AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type IN ('Metro', 'Total') AND cpi_2022.area_name = cpi_2017.area_name ORDER BY inflation_rate DESC LIMIT 10 -- this query calculates the overall rate of inflation for the 25 metro areas with the highest inflation rate along with the US average inflation rate over the last 5 years",42.42070084400257,True,1,"[('U.S. city average', 0.19392544)]","[('Atlanta-Sandy Springs-Roswell, GA', 0.24383505), ('Seattle-Tacoma-Bellevue WA', 0.22651786), ('Miami-Fort Lauderdale-West Palm Beach, FL', 0.21336992), ('Los Angeles-Long Beach-Anaheim, CA', 0.21299724), ('Dallas-Fort Worth-Arlington, TX', 0.21119584), ('U.S. city average', 0.19392544), ('San Francisco-Oakland-Hayward, CA', 0.18963781), ('Baltimore-Columbia-Towson, MD', 0.18587261), ('Detroit-Warren-Dearborn, MI', 0.1816912), ('Boston-Cambridge-Newton, MA-NH', 0.1772178)]",0.8766664590239228,
12,How has the cost of living increased in different areas of the country over the last 5 years?,"['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.8638449430480403]","['Is the cost of living rising?', 0.8228587594735376]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.8120732421653614]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.8064180074272707]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.8020271856413007]","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value)/cpi_2017.value) as inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type IN ('Metro', 'Total') AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type IN ('Metro', 'Total') AND cpi_2022.area_name = cpi_2017.area_name ORDER BY inflation_rate DESC LIMIT 10","SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value) / cpi_2017.value) AS inflation_rate FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 WHERE cpi_2022.item_name = 'All items' AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'Annual' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.area_type = 'Region' AND cpi_2017.item_name = 'All items' AND cpi_2017.year = 2017 AND cpi_2017.period_name = 'Annual' AND cpi_2017.seasonal = 'Not Seasonally Adjusted' AND cpi_2017.area_type = 'Region' AND cpi_2022.area_name = cpi_2017.area_name ORDER BY INFLATION_RATE DESC LIMIT 10 -- retrieves the overall inflation rate from 2017 to 2022 (the most recent 5 years) by US area/region",18.732576708000124,True,1,"[('Atlanta-Sandy Springs-Roswell, GA', 0.24383505), ('Seattle-Tacoma-Bellevue WA', 0.22651786), ('Miami-Fort Lauderdale-West Palm Beach, FL', 0.21336992), ('Los Angeles-Long Beach-Anaheim, CA', 0.21299724), ('Dallas-Fort Worth-Arlington, TX', 0.21119584), ('U.S. city average', 0.19392544), ('San Francisco-Oakland-Hayward, CA', 0.18963781), ('Baltimore-Columbia-Towson, MD', 0.18587261), ('Detroit-Warren-Dearborn, MI', 0.1816912), ('Boston-Cambridge-Newton, MA-NH', 0.1772178)]","[('West', 0.21893473), ('South', 0.19460444), ('Midwest', 0.18500139), ('Northeast', 0.16869211)]",0.8482896961284039,1.0
