question,top_0,top_1,top_2,top_3,top_4,SQL Query,ground_truth,execution_time,ground_truth_validity
What was the value of the consumer price index in May 2023?,"['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8401457228840662]","['How much did food prices go up between 2019 and 2022?', 0.8070899664439849]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7859798106182708]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.7823644001647774]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.7774585203038719]",SELECT value FROM bls_consumer_price_index WHERE year = 2023 AND period_name = 'May' AND item_name = 'All items' AND area_name = 'U.S. city average' AND seasonal = 'Not Seasonally Adjusted',SELECT value FROM bls_consumer_price_index WHERE area_name = 'U.S. city average' AND item_name = 'All items' AND seasonal = 'Seasonally Adjusted' AND year = 2023 AND period_name = 'May',3.2973933710018173,True
How much did food prices go up between 2019 and 2022?,"['What was the value of the consumer price index in May 2023?', 0.8048366128860379]","['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8005117285846762]","['How has the cost of living increased in different areas of the country over the last 5 years?', 0.7858319033405086]","['Where have prices increased the most? The least?', 0.7852035706790753]","['What is the total amount of consumer spending in the United States, and how has it changed over time?', 0.7823881956863964]","SELECT ((cpi_2022.value - cpi_2019.value) / cpi_2019.value) AS inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2019 
WHERE cpi_2022.item_name = 'Food' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_type = 'Nationwide' 
AND cpi_2019.item_name = 'Food' 
AND cpi_2019.year = 2019 
AND cpi_2019.period_name = 'Annual' 
AND cpi_2019.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2019.area_type = 'Nationwide';","SELECT (cpi_2022.value - cpi_2019.value)/cpi_2019.value as rate_of_inflation  FROM bls_consumer_price_index as cpi_2019, bls_consumer_price_index as cpi_2022  WHERE cpi_2019.area_name = 'U.S. city average'  AND cpi_2019.item_name = 'Food'  AND cpi_2019.seasonal = 'Seasonally Adjusted'  AND cpi_2019.year = 2019 AND cpi_2019.period_name = 'January' AND cpi_2022.area_name = 'U.S. city average'  AND cpi_2022.item_name = 'Food'  AND cpi_2022.seasonal = 'Seasonally Adjusted'  AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'December'",23.496466492000764,True
What was the unemployment rate in 2018?,"['What was the unemployment rate for men and women in 2018?', 0.8952439936478355]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8727285791222474]","['How did the unemployment rate differ by education level in 2018', 0.8415789413204389]","['What is the employment rate trend over the years in the US?', 0.8237170235459179]","['What is the unemployment rate in Denver CO?', 0.8210666911405465]",SELECT AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A',SELECT value as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A',14.298854094999115,False
What was the unemployment rate for men and women in 2018?,"['What was the unemployment rate in 2018?', 0.895006944815795]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8771891374997716]","['How did the unemployment rate differ by education level in 2018', 0.8390320342008146]","['What is the employment rate trend over the years in the US?', 0.8206368776912215]","['What percentage of the population is working or actively seeking work?', 0.8176192135185711]","SELECT sex, AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND veteran_status = 'N/A' GROUP BY sex","SELECT sex, value as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND veteran_status = 'N/A'",21.71055945400076,False
What was the unemployment rate for immigrants and native born Americans in 2018?,"['What was the unemployment rate for men and women in 2018?', 0.8762110642593111]","['What was the unemployment rate in 2018?', 0.8715089928391387]","['What is the employment rate trend over the years in the US?', 0.8206763981302037]","['How did the unemployment rate differ by education level in 2018', 0.819078047480692]","['What percentage of the population is working or actively seeking work?', 0.815393970795406]","SELECT foreign_native_born, value as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' AND (foreign_native_born = 'Foreign born' OR foreign_native_born = 'Native born')","SELECT foreign_native_born, AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' GROUP BY foreign_native_born",26.88523885000177,False
What is the unemployment rate in Denver CO?,"['What was the unemployment rate in 2018?', 0.8416307766496377]","['What was the unemployment rate for men and women in 2018?', 0.8269119725197508]","[""What percent of Colorado's economy is the Insurance carriers and related activities industry in 2022?"", 0.8147489080968486]","['What is the employment rate trend over the years in the US?', 0.8137307000988016]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8116218271024318]","SELECT value as unemployment_rate FROM bls_labor_force_statistics WHERE area_name = 'Denver, CO' AND period_name = 'Annual' AND year = 2022 AND labor_force_status = 'Unemployment rate'","SELECT value as unemployment_rate FROM bls_local_area_unemployment_statistics WHERE area_type = 'cities and towns above 25,000 population' AND area_name = 'Denver County/city, CO' AND year = 2022 AND period_name = 'Annual' AND measure = 'unemployment rate'",3.0393566460006696,True
Is the economy growing?,"['What is the employment rate trend over the years in the US?', 0.8075428590142589]","['What are the GDP trends for different regions and geographic areas in the United States?', 0.8061826356873527]","['Is the cost of living rising?', 0.7946257538302713]","['How is the US job market?', 0.7927940666694925]","['What percentage of the population is working or actively seeking work?', 0.7917276918310648]",SELECT (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter as gdp_q4_2022 INNER JOIN bea_gross_domestic_product_by_quarter as gdp_q3_2022 ON gdp_q4_2022.area_name = gdp_q3_2022.area_name WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3' AND gdp_q3_2022.area_type = 'Nationwide',"SELECT (1 + (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value)^4 -1 as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter gdp_q4_2022, bea_gross_domestic_product_by_quarter gdp_q3_2022 WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.area_type = 'Nationwide' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3'",17.318806945000688,True
Is the cost of living rising?,"['How has the cost of living increased in different areas of the country over the last 5 years?', 0.8524020513892103]","['How much did food prices go up between 2019 and 2022?', 0.8056063797104057]","['Is the economy growing?', 0.7911544936383273]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7898387409439606]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.789537267867904]","SELECT (cpi_current.value - cpi_previous.value)/cpi_previous.value as inflation_rate FROM bls_consumer_price_index as cpi_current, bls_consumer_price_index as cpi_previous WHERE cpi_current.area_name = 'U.S. city average' AND cpi_current.item_name = 'All items' AND cpi_current.seasonal = 'Not Seasonally Adjusted' AND cpi_current.year = 2022 AND cpi_current.period_name = 'Annual' AND cpi_previous.area_name = 'U.S. city average' AND cpi_previous.item_name = 'All items' AND cpi_previous.seasonal = 'Not Seasonally Adjusted' AND cpi_previous.year = 2021 AND cpi_previous.period_name = 'Annual'","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",13.03848349799955,True
How is the US job market?,"['What is the employment rate trend over the years in the US?', 0.858108872220653]","['What percentage of the population is working or actively seeking work?', 0.8120488446041673]","['What was the unemployment rate for immigrants and native born Americans in 2018?', 0.8065966704954184]","['What was the unemployment rate in 2018?', 0.8062585360756721]","['What was the unemployment rate for men and women in 2018?', 0.7981362126166884]","SELECT year, value as employment_rate FROM bls_current_employment WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' ORDER BY year DESC LIMIT 1;","SELECT (real_earnings_2023.value - real_earnings_2022.value)/real_earnings_2022.value as real_wage_change, (nominal_earnings_2023.value - nominal_earnings_2022.value)/nominal_earnings_2022.value as nominal_wage_change FROM bls_current_employment real_earnings_2023, bls_current_employment real_earnings_2022, bls_current_employment nominal_earnings_2023, bls_current_employment nominal_earnings_2022 WHERE real_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2023.supersector_name = 'Total private' AND real_earnings_2023.seasonal = 'Seasonally Adjusted' AND real_earnings_2023.year = 2023 AND real_earnings_2023.period_name = 'July' AND real_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2022.supersector_name = 'Total private' AND real_earnings_2022.seasonal = 'Seasonally Adjusted' AND real_earnings_2022.year = 2022 AND real_earnings_2022.period_name = 'July' AND nominal_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2023.supersector_name = 'Total private' AND nominal_earnings_2023.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2023.year = 2023 AND nominal_earnings_2023.period_name = 'July' AND nominal_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2022.supersector_name = 'Total private' AND nominal_earnings_2022.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2022.year = 2022 AND nominal_earnings_2022.period_name = 'July' -- this query calculates the percent change in real (inflation-adjusted) and nominal wages over the last year, using the most recently-available month and year (July 2023)",5.057314652996865,True
What is the inflation rate?,"['What was the inflation rate in each metro area from June 2022 through June 2023?', 0.8373954576432748]","['How does the inflation rate of the U.S. city average compare to specific cities within the last 5 years?', 0.8240185982192102]","['How does inflation in the Miami area compare to the rest of the United States?', 0.8005391992470435]","['What was the unemployment rate in 2018?', 0.7909716559044797]","['What percentage of consumer spending is allocated to different categories such as housing, food, transportation, healthcare, and entertainment?', 0.7832763384759945]","SELECT ((cpi_current.value - cpi_previous.value)/cpi_previous.value) as inflation_rate 
FROM bls_consumer_price_index cpi_current, bls_consumer_price_index cpi_previous 
WHERE cpi_current.item_name = 'All items' 
AND cpi_current.year = (SELECT MAX(year) FROM bls_consumer_price_index) 
AND cpi_current.period_name = 'Annual' 
AND cpi_current.seasonal = 'Not Seasonally Adjusted' 
AND cpi_current.area_type = 'Total' 
AND cpi_previous.item_name = 'All items' 
AND cpi_previous.year = (SELECT MAX(year) - 1 FROM bls_consumer_price_index) 
AND cpi_previous.period_name = 'Annual' 
AND cpi_previous.seasonal = 'Not Seasonally Adjusted' 
AND cpi_previous.area_type = 'Total' 
AND cpi_current.area_name = cpi_previous.area_name;","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",11.368895716001134,True
