question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,Ground Truth SQL Execution Results,retries
What was the value of the consumer price index in May 2023?,"SELECT area_name, value 
FROM bls_consumer_price_index 
WHERE year = 2023 AND period_name = 'May' AND item_name = 'All items' AND seasonal = 'Not Seasonally Adjusted'
-- This query selects the area name and the value of the consumer price index for all items in May 2023, without seasonal adjustment.",SELECT value FROM bls_consumer_price_index WHERE area_name = 'U.S. city average' AND item_name = 'All items' AND seasonal = 'Seasonally Adjusted' AND year = 2023 AND period_name = 'May',5.38379586301744,True,"The value of the consumer price index in May 2023 varied depending on the area. Here are some examples:

- For the New York-Newark-Jersey City, NY-NJ-PA area, the value was 320.002.
- For the Middle Atlantic area, the value was 119.962.
- For the Midwest area, the value was 282.656.
- For the Tampa-St. Petersburg-Clearwater, FL area, the value was 293.269.
- For the Washington-Arlington-Alexandria, DC-VA-MD-WV area, the value was 305.614.

The U.S. city average for the consumer price index in May 2023 was 304.127.",8.693820314016193,"[('New York-Newark-Jersey City, NY-NJ-PA', 320.002), ('Middle Atlantic', 119.962), ('Midwest', 282.656), ('Tampa-St. Petersburg-Clearwater, FL', 293.269), ('Washington-Arlington-Alexandria, DC-VA-MD-WV', 305.614), ('East North Central', 122.832), ('Denver-Aurora-Lakewood, CO', 319.132), ('Los Angeles-Long Beach-Anaheim, CA', 320.514), ('Boston-Cambridge-Newton, MA-NH', 324.927), ('Northeast', 312.241), ('East South Central', 122.567), ('West South Central', 121.902), ('West', 323.525), ('Minneapolis-St.Paul-Bloomington, MN-WI', 291.001), ('Chicago-Naperville-Elgin, IL-IN-WI', 283.415), ('New England', 119.166), ('South', 295.889), ('Pacific', 124.642), ('U.S. city average', 304.127), ('San Diego-Carlsbad, CA', 361.339), ('West North Central', 122.132), ('South Atlantic', 125.605), ('Mountain', 128.647), ('Riverside-San Bernardino-Ontario, CA', 128.768), ('Urban Hawaii', 323.708), ('Dallas-Fort Worth-Arlington, TX', 287.133)]","The value of the consumer price index in the U.S. city average for all items, seasonally adjusted, in May 2023 was 303.294.","[(303.294,)]",0
How much did food prices go up between 2019 and 2022?,"SELECT ((cpi_2022.value - cpi_2019.value) / cpi_2019.value) AS inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2019 
WHERE cpi_2022.item_name = 'Food' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2019.item_name = 'Food' 
AND cpi_2019.year = 2019 
AND cpi_2019.period_name = 'Annual' 
AND cpi_2019.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_name = cpi_2019.area_name 
AND cpi_2022.area_name = 'U.S. city average'
-- This query calculates the inflation rate for food from 2019 to 2022 in U.S. city average area.","SELECT (cpi_2022.value - cpi_2019.value)/cpi_2019.value as rate_of_inflation  FROM bls_consumer_price_index as cpi_2019, bls_consumer_price_index as cpi_2022  WHERE cpi_2019.area_name = 'U.S. city average'  AND cpi_2019.item_name = 'Food'  AND cpi_2019.seasonal = 'Seasonally Adjusted'  AND cpi_2019.year = 2019 AND cpi_2019.period_name = 'January' AND cpi_2022.area_name = 'U.S. city average'  AND cpi_2022.item_name = 'Food'  AND cpi_2022.seasonal = 'Seasonally Adjusted'  AND cpi_2022.year = 2022 AND cpi_2022.period_name = 'December'",10.045517261023633,True,The food prices in the U.S. city average area increased by approximately 18.22% between 2019 and 2022.,1.5594343109987676,"[(0.18222637,)]",The food prices in the U.S. city average increased by approximately 24.01% between January 2019 and December 2022.,"[(0.24011375,)]",0
What was the unemployment rate in 2018?,"SELECT AVG(value) as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE year = 2018 AND period_name = 'Annual' AND labor_force_status = 'Unemployment rate'
-- This query calculates the average unemployment rate for the year 2018.",SELECT value as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A',7.931546851992607,False,The data for the unemployment rate in 2018 is not available in the database.,0.9365183279151097,"[(None,)]","The SQL query could not be executed because the column ""certification_license_status"" does not exist in the database. Therefore, the unemployment rate for 2018 could not be determined.","Error: column ""certification_license_status"" does not exist
LINE 1: ...loyment rate' AND foreign_native_born = 'N/A' AND certificat...
                                                             ^
",0
What was the unemployment rate for men and women in 2018?,"SELECT sex, AVG(value) as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND level_of_education = 'All educational levels' AND industry_name = 'All Industries' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND veteran_status = 'N/A' 
GROUP BY sex
-- This query selects the sex and average value (unemployment rate) from the bls_labor_force_statistics table where the year is 2018, the age group is 16 years and over, the labor force status is Unemployment rate, the foreign_native_born is N/A, the level of education is All educational levels, the industry name is All Industries, the hispanic origin is All Origins, the race is All Races, and the veteran status is N/A. The results are grouped by sex.","SELECT sex, value as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born = 'N/A' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND veteran_status = 'N/A'",10.940398251987062,False,The data for the unemployment rate for men and women in 2018 is not available in the database.,1.77399726503063,[],"The SQL query could not be executed due to an error. The column ""certification_license_status"" does not exist in the database. Therefore, the unemployment rate for men and women in 2018 cannot be determined from the provided information.","Error: column ""certification_license_status"" does not exist
LINE 1: ...loyment rate' AND foreign_native_born = 'N/A' AND certificat...
                                                             ^
",0
What was the unemployment rate for immigrants and native born Americans in 2018?,"SELECT foreign_native_born, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND foreign_native_born != 'N/A' AND industry_name = 'All Industries' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A'
-- This query selects the unemployment rate for immigrants and native born Americans in 2018. It filters the data to include only those who are 16 years and over, and excludes data where the foreign/native born status is not available.","SELECT foreign_native_born, AVG(value) as unemployment_rate FROM bls_labor_force_statistics WHERE period_name = 'Annual' AND year = 2018 AND age_group = '16 years and over' AND labor_force_status = 'Unemployment rate' AND certification_license_status = 'N/A' AND children = 'N/A' AND class_of_worker = 'N/A' AND disabled_status = 'N/A' AND length_of_unemployment = 'N/A' AND level_of_education = 'All educational levels' AND labor_force_entrant_status = 'N/A' AND experience_level = 'N/A' AND head_of_family = 'N/A' AND hours_worked_bucket = 'N/A' AND industry_name = 'All Industries' AND wants_job = 'N/A' AND reason_looking = 'N/A' AND marriage_status = 'N/A' AND multiple_job_holder_status = 'N/A' AND occupation = 'All Occupations' AND hispanic_origin = 'All Origins' AND race = 'All Races' AND sex = 'Both Sexes' AND veteran_status = 'N/A' GROUP BY foreign_native_born",33.02211218804587,False,The data for the unemployment rate for immigrants and native born Americans in 2018 is not available in the database.,4.611985857016407,[],"The SQL query could not be executed due to an error. The column ""certification_license_status"" does not exist in the database. Therefore, the unemployment rate for immigrants and native born Americans in 2018 cannot be determined from the provided information.","Error: column ""certification_license_status"" does not exist
LINE 1: ... AND labor_force_status = 'Unemployment rate' AND certificat...
                                                             ^
",1
What is the unemployment rate in Denver CO?,"SELECT value as unemployment_rate 
FROM bls_local_area_unemployment_statistics 
WHERE area_name = 'Denver, CO' AND measure = 'unemployment rate' AND period_name = 'Annual' AND year = (SELECT MAX(year) FROM bls_local_area_unemployment_statistics WHERE area_name = 'Denver, CO' AND measure = 'unemployment rate' AND period_name = 'Annual');
-- This query selects the most recent annual unemployment rate for Denver, CO from the bls_local_area_unemployment_statistics table.","SELECT value as unemployment_rate FROM bls_local_area_unemployment_statistics WHERE area_type = 'cities and towns above 25,000 population' AND area_name = 'Denver County/city, CO' AND year = 2022 AND period_name = 'Annual' AND measure = 'unemployment rate'",6.748287750058807,True,"The database does not contain information on the most recent annual unemployment rate for Denver, CO.",2.5142548490548506,[],"The unemployment rate in Denver, CO for the year 2022 is 3.1%.","[(0.031,)]",0
Is the economy growing?,"SELECT year, value 
FROM bea_gross_domestic_product_by_year 
WHERE measurement_name = 'Real GDP' AND area_name = 'United States' 
ORDER BY year DESC 
LIMIT 10;
-- This query selects the real GDP values for the United States from the most recent 10 years. A positive trend in these values would indicate economic growth.","SELECT (1 + (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value)^4 -1 as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter gdp_q4_2022, bea_gross_domestic_product_by_quarter gdp_q3_2022 WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.area_type = 'Nationwide' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3'",5.807698462973349,True,"The data for the real GDP values for the United States from the most recent 10 years is not available. Therefore, it's not possible to determine whether the economy is growing based on this data.",2.6601626889314502,[],The economy is growing. The Gross Domestic Product (GDP) growth rate from the third quarter to the fourth quarter of 2022 is approximately 2.57%.,"[(0.02574065710491391,)]",0
Is the cost of living rising?,"SELECT (cpi_2022.value - cpi_2021.value)/cpi_2021.value as rate_of_inflation  
FROM bls_consumer_price_index as cpi_2021, bls_consumer_price_index as cpi_2022  
WHERE cpi_2021.area_name = 'U.S. city average'  
AND cpi_2021.item_name = 'All items'  
AND cpi_2021.seasonal = 'Not Seasonally Adjusted'  
AND cpi_2021.year = 2021 
AND cpi_2021.period_name = 'Annual' 
AND cpi_2022.area_name = 'U.S. city average'  
AND cpi_2022.item_name = 'All items'  
AND cpi_2022.seasonal = 'Not Seasonally Adjusted'  
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 

-- This query calculates the overall rate of inflation in the US for the most recent year (2022) compared to the previous year (2021). The rate of inflation is a common measure of the increase in the cost of living.","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",13.83771439397242,True,"Yes, the cost of living is rising. The rate of inflation from 2021 to 2022 was approximately 8.0%, indicating that the average cost of goods and services in U.S. cities increased by this percentage over the year. This is a common measure of the increase in the cost of living.",3.9016122999601066,"[(0.0800273,)]","Yes, the cost of living is rising. The rate of inflation from July 2022 to July 2023 for the U.S. city average is approximately 3.18%. This means that on average, the cost of all items has increased by about 3.18% over this one-year period.","[(0.03177783,)]",0
How is the US job market?,"SELECT year, value 
FROM bls_current_employment 
WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' 
ORDER BY year DESC 
LIMIT 10;
-- This query selects the year and value from the bls_current_employment table where the data type is 'ALL EMPLOYEES, THOUSANDS', the period name is 'Annual Average', and the industry name is 'Total nonfarm'. The results are ordered by year in descending order and limited to the top 10 results. This gives us a snapshot of the total nonfarm employment in the US over the last 10 years, which can be used to gauge the state of the US job market.","SELECT (real_earnings_2023.value - real_earnings_2022.value)/real_earnings_2022.value as real_wage_change, (nominal_earnings_2023.value - nominal_earnings_2022.value)/nominal_earnings_2022.value as nominal_wage_change FROM bls_current_employment real_earnings_2023, bls_current_employment real_earnings_2022, bls_current_employment nominal_earnings_2023, bls_current_employment nominal_earnings_2022 WHERE real_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2023.supersector_name = 'Total private' AND real_earnings_2023.seasonal = 'Seasonally Adjusted' AND real_earnings_2023.year = 2023 AND real_earnings_2023.period_name = 'July' AND real_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES, 1982-1984 DOLLARS' AND real_earnings_2022.supersector_name = 'Total private' AND real_earnings_2022.seasonal = 'Seasonally Adjusted' AND real_earnings_2022.year = 2022 AND real_earnings_2022.period_name = 'July' AND nominal_earnings_2023.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2023.supersector_name = 'Total private' AND nominal_earnings_2023.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2023.year = 2023 AND nominal_earnings_2023.period_name = 'July' AND nominal_earnings_2022.data_type = 'AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES' AND nominal_earnings_2022.supersector_name = 'Total private' AND nominal_earnings_2022.seasonal = 'Seasonally Adjusted' AND nominal_earnings_2022.year = 2022 AND nominal_earnings_2022.period_name = 'July' -- this query calculates the percent change in real (inflation-adjusted) and nominal wages over the last year, using the most recently-available month and year (July 2023)",12.310534695978276,True,"The US job market has been generally increasing over the past decade. In 2013, there were approximately 136.36 million nonfarm jobs. This number increased each year, reaching approximately 150.90 million in 2019. However, there was a decrease in 2020 to approximately 142.19 million, likely due to the impact of the COVID-19 pandemic. The job market began to recover in 2021 with approximately 146.28 million jobs, and as of 2022, there are approximately 152.58 million nonfarm jobs in the US.",10.310441224020906,"[(2022, 152575010.0), (2021, 146284990.0), (2020, 142186000.0), (2019, 150904000.0), (2018, 148908000.0), (2017, 146607010.0), (2016, 144335010.0), (2015, 141824000.0), (2014, 138939010.0), (2013, 136363010.0)]","The US job market has seen a growth in both real and nominal wages over the last year, from July 2022 to July 2023. The real wage, which is adjusted for inflation, has increased by approximately 1.09%. The nominal wage, which is not adjusted for inflation, has seen a larger increase of approximately 4.36%.","[(0.010938914, 0.043612737)]",0
What is the inflation rate?,"SELECT ((cpi_current.value - cpi_previous.value)/cpi_previous.value)*100 as inflation_rate 
FROM bls_consumer_price_index cpi_current, bls_consumer_price_index cpi_previous 
WHERE cpi_current.item_name = 'All items' 
AND cpi_current.year = (SELECT MAX(year) FROM bls_consumer_price_index WHERE item_name = 'All items') 
AND cpi_current.period_name = 'Annual' 
AND cpi_current.seasonal = 'Not Seasonally Adjusted' 
AND cpi_current.area_name = 'U.S. city average' 
AND cpi_previous.item_name = 'All items' 
AND cpi_previous.year = (cpi_current.year - 1) 
AND cpi_previous.period_name = 'Annual' 
AND cpi_previous.seasonal = 'Not Seasonally Adjusted' 
AND cpi_previous.area_name = 'U.S. city average'
-- This query calculates the inflation rate by comparing the Consumer Price Index (CPI) of the current year with the previous year for all items in the U.S. city average. The inflation rate is calculated as the percentage change in CPI from the previous year to the current year.","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",18.018539977027103,True,The data needed to calculate the inflation rate is not available.,0.9255115889245644,[],"The inflation rate for the U.S. city average from July 2022 to July 2023 for all items, not seasonally adjusted, is approximately 3.18%.","[(0.03177783,)]",0
