,question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,E2E Groundedness,E2E Relevance,SQL Query Execution Validity,Ground Truth SQL Execution Results,SQL Exact Match,SQL Query Exact Match,ground_truth_results,SQL Cosine Similarity Generated vs True,Ground Truth SQL Executed vs Generated SQL cosine similarity,SQL Query Critic Score,SQL Execution Is Empty,Ground Truth SQL Execution Is Empty
0,How does the inflation rate in Los Angeles compare to the rest of the country?,"SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2017.value)/cpi_2017.value) as inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2017 
WHERE cpi_2022.item_name = 'All items' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_name IN ('Los Angeles-Long Beach-Anaheim, CA', 'U.S. city average') 
AND cpi_2017.item_name = 'All items' 
AND cpi_2017.year = 2017 
AND cpi_2017.period_name = 'Annual' 
AND cpi_2017.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2017.area_name IN ('Los Angeles-Long Beach-Anaheim, CA', 'U.S. city average') 
AND cpi_2022.area_name = cpi_2017.area_name--

-- This query calculates the overall rate of inflation for Los Angeles and the entire US over the last 5 years. It does this by subtracting the CPI value for 2017 from the CPI value for 2022, dividing by the 2017 value, and then multiplying by 100 to get a percentage. The result is the inflation rate for each area over the last 5 years.",Not Found,19.60795505200804,False,"The inflation rate in Los Angeles-Long Beach-Anaheim, CA over the last 5 years is approximately 21.3%. In comparison, the average inflation rate for U.S. cities over the same period is approximately 19.4%. Therefore, the inflation rate in Los Angeles is slightly higher than the average inflation rate across U.S. cities.",5.181444957997883,"[('Los Angeles-Long Beach-Anaheim, CA', 0.21299724), ('U.S. city average', 0.19392544)]","I'm sorry, but I can't provide the information you're looking for because there was an error in executing the SQL query.",1.0,1,1,Error,False,False,Error,0.7077385171134836,0.7077385171134836,1.0,False,False
1,What is the GDP and number of job openings per capita in Washington state in 2020?,"SELECT 
    gdp.value as gdp, 
    job_openings.value as job_openings, 
    gdp.value / population.value as gdp_per_capita, 
    job_openings.value / population.value as job_openings_per_capita
FROM 
    bea_gross_domestic_product_by_year as gdp
JOIN 
    bls_job_turnover as job_openings ON gdp.year = job_openings.year
JOIN 
    bls_labor_force_statistics as population ON gdp.year = population.year
WHERE 
    gdp.area_name = 'Washington' AND 
    gdp.measurement_name = 'Real GDP by state' AND 
    gdp.year = 2020 AND 
    gdp.industry_type = 'Total' AND 
    job_openings.state = 'Washington' AND 
    job_openings.data_element = 'Job openings' AND 
    job_openings.month_name = 'Annual' AND 
    population.area_name = 'Washington' AND 
    population.measure = 'Civilian noninstitutional population'--

-- This query joins the GDP, job openings, and population data for Washington state in 2020. It then calculates the GDP and number of job openings per capita by dividing the GDP and number of job openings by the population.",Not Found,15.923301048009307,False,"I'm sorry, but I can't provide the information you're looking for because there was an error when executing the SQL query.",2.8097924399917247,Error,"I'm sorry, but I can't provide the information you're looking for because there was an error in executing the SQL query.",1.0,0,0,Error,True,False,Error,0.9999999999999998,0.9999999999999998,0.0,False,False
2,What are the unemployment rates for each level of education over the past 5 years?,"SELECT level_of_education, year, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' 
AND year BETWEEN EXTRACT(YEAR FROM CURRENT_DATE) - 5 AND EXTRACT(YEAR FROM CURRENT_DATE) 
AND labor_force_status = 'Unemployment rate' 
AND foreign_native_born = 'N/A' 
AND industry_name = 'All Industries' 
AND hispanic_origin = 'All Origins' 
AND race = 'All Races' 
AND sex = 'Both Sexes' 
AND veteran_status = 'N/A'
ORDER BY level_of_education, year;--

-- This query selects the level of education, year, and unemployment rate from the bls_labor_force_statistics table where the period is annual, the year is within the past 5 years, the labor force status is 'Unemployment rate', the foreign_native_born is 'N/A', the industry name is 'All Industries', the hispanic_origin is 'All Origins', the race is 'All Races', the sex is 'Both Sexes', and the veteran_status is 'N/A'. The results are ordered by level of education and year.",Not Found,17.94328438199591,False,The database does not contain any data on the unemployment rates for each level of education over the past 5 years.,1.6779265609948195,[],"I'm sorry, but I can't provide the unemployment rates for each level of education over the past 5 years because there was an error in executing the SQL query.",1.0,1,1,Error,False,False,Error,0.8086159967224531,0.8086159967224531,1.0,True,False
3,Can you provide the yearly unemployment rates for the cities that had the highest increase in unemployment since 2010?,"WITH unemployment_rate_2010 AS (
  SELECT area_name, value AS unemployment_rate_2010
  FROM bls_local_area_unemployment_statistics
  WHERE measure = 'unemployment rate' AND year = 2010 AND period_name = 'Annual' AND area_type = 'city'
),
unemployment_rate_latest AS (
  SELECT area_name, value AS unemployment_rate_latest
  FROM bls_local_area_unemployment_statistics
  WHERE measure = 'unemployment rate' AND year = (SELECT MAX(year) FROM bls_local_area_unemployment_statistics WHERE measure = 'unemployment rate' AND period_name = 'Annual' AND area_type = 'city') AND period_name = 'Annual' AND area_type = 'city'
),
unemployment_increase AS (
  SELECT u1.area_name, (u2.unemployment_rate_latest - u1.unemployment_rate_2010) AS increase
  FROM unemployment_rate_2010 u1
  JOIN unemployment_rate_latest u2 ON u1.area_name = u2.area_name
  ORDER BY increase DESC
  LIMIT 5
)
SELECT bls.area_name, bls.year, bls.value AS unemployment_rate
FROM bls_local_area_unemployment_statistics bls
JOIN unemployment_increase ui ON bls.area_name = ui.area_name
WHERE bls.measure = 'unemployment rate' AND bls.period_name = 'Annual' AND bls.area_type = 'city'
ORDER BY bls.area_name, bls.year;--

-- This query first creates a subquery `unemployment_rate_2010` to get the unemployment rate for each city in 2010. 
-- Then it creates another subquery `unemployment_rate_latest` to get the latest unemployment rate for each city. 
-- The `unemployment_increase` subquery calculates the increase in unemployment rate for each city since 2010 and selects the top 5 cities with the highest increase. 
-- The main query then joins the `bls_local_area_unemployment_statistics` table with the `unemployment_increase` subquery to get the yearly unemployment rates for the cities that had the highest increase in unemployment since 2010.",Not Found,23.65760758900433,False,"The query did not return any results. Therefore, it is not possible to provide the yearly unemployment rates for the cities that had the highest increase in unemployment since 2010.",2.9429329659906216,[],"I'm sorry, but I can't provide the yearly unemployment rates for the cities that had the highest increase in unemployment since 2010 because there was an error executing the SQL query.",1.0,1,1,Error,False,False,Error,0.8086159967224531,0.8086159967224531,1.0,True,False
