question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response
Is the economy growing?,"SELECT year, value 
FROM bea_gross_domestic_product_by_year 
WHERE measurement_name = 'Real GDP by state' AND area_name = 'United States' AND industry_name = 'All industry total' 
ORDER BY year DESC 
LIMIT 5;
-- This query selects the value of the Real GDP for the United States for the last 5 years. The growth of the economy can be inferred by comparing these values.","SELECT (1 + (gdp_q4_2022.value - gdp_q3_2022.value)/gdp_q3_2022.value)^4 -1 as gdp_growth_rate FROM bea_gross_domestic_product_by_quarter gdp_q4_2022, bea_gross_domestic_product_by_quarter gdp_q3_2022 WHERE gdp_q4_2022.measurement_name = 'Real GDP by state' AND gdp_q4_2022.area_type = 'Nationwide' AND gdp_q4_2022.industry_type = 'Total' AND gdp_q4_2022.year = 2022 AND gdp_q4_2022.quarter = 'Q4' AND gdp_q3_2022.measurement_name = 'Real GDP by state' AND gdp_q3_2022.area_type = 'Nationwide' AND gdp_q3_2022.industry_type = 'Total' AND gdp_q3_2022.year = 2022 AND gdp_q3_2022.quarter = 'Q3'",5.591252388956491,True,"Based on the Real GDP values for the United States over the last five years, it can be inferred that the economy is growing. The Real GDP has increased from 18.61 trillion dollars in 2018 to 20.01 trillion dollars in 2022. However, there was a dip in 2020 where the GDP decreased to 18.51 trillion dollars from 19.04 trillion dollars in 2019, likely due to the impact of the COVID-19 pandemic. But the economy has since recovered and continued its growth.",6.783985632995609,"[(2022, 20014128000000.0), (2021, 19609812000000.0), (2020, 18509143000000.0), (2019, 19036052000000.0), (2018, 18609078000000.0)]",The economy is growing. The Gross Domestic Product (GDP) growth rate from the third quarter to the fourth quarter of 2022 is approximately 2.57%.
Where is the unemployment rate the highest?,"SELECT area_name, MAX(value) as highest_unemployment_rate 
FROM bls_local_area_unemployment_statistics 
WHERE measure = 'unemployment rate' AND period_name = 'Annual' AND year = (SELECT MAX(year) FROM bls_local_area_unemployment_statistics WHERE measure = 'unemployment rate')
GROUP BY area_name 
ORDER BY highest_unemployment_rate DESC 
LIMIT 1;--
-- This query selects the area with the highest unemployment rate from the most recent year in the bls_local_area_unemployment_statistics table. It groups the data by area_name and orders it in descending order based on the highest unemployment rate. The LIMIT 1 clause ensures that only the area with the highest unemployment rate is returned.","SELECT area_name, value AS unemployment_rate FROM bls_local_area_unemployment_statistics WHERE measure = 'unemployment rate' AND year = 2023 AND period_name = 'July' AND seasonal = 'Seasonally Adjusted' AND area_type = 'statewide' ORDER BY unemployment_rate DESC;",17.072195279004518,True,The data does not provide information on the area with the highest unemployment rate.,2.576579364016652,[],"The area with the highest unemployment rate in July 2023 is Puerto Rico, with an unemployment rate of 6.2%. This is followed by Nevada with an unemployment rate of 5.3%, and the District of Columbia with an unemployment rate of 5.0%. The area with the lowest unemployment rate is New Hampshire, with a rate of 1.7%."
What product has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri?,"SELECT 
    pce2021.product_category_name, 
    pce2021.value AS value2021, 
    pce2010.value AS value2010, 
    (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change 
FROM 
    bamboo.bea_personal_consumption_expenditures_per_capita pce2021, 
    bamboo.bea_personal_consumption_expenditures_per_capita pce2010 
WHERE 
    pce2021.year = 2021 
    AND pce2021.product_category_type = 'Product Type' 
    AND pce2021.area_name = 'Missouri' 
    AND pce2010.year = 2010 
    AND pce2010.product_category_type = 'Product Type' 
    AND pce2010.area_name = 'Missouri' 
    AND pce2010.product_category_name = pce2021.product_category_name 
ORDER BY 
    rate_of_change DESC 
LIMIT 10;--

-- This query selects the product category name and calculates the rate of change in per capita consumer spending between 2010 and 2021 for each product category in Missouri. It then orders the results by the rate of change in descending order and limits the output to the top 10 product categories.","SELECT pce2021.product_category_name, pce2021.value AS value2021, pce2010.value AS value2010, (pce2021.value - pce2010.value)/pce2010.value AS rate_of_change FROM bamboo.bea_personal_consumption_expenditures_per_capita pce2021, bamboo.bea_personal_consumption_expenditures_per_capita pce2010 WHERE pce2021.year = 2021 AND pce2021.product_category_type = 'Product Type' AND pce2021.area_name = 'Missouri' AND pce2010.year = 2010 AND pce2010.product_category_type = 'Product Type' AND pce2010.area_name = 'Missouri' AND pce2010.product_category_name = pce2021.product_category_name ORDER BY rate_of_change DESC LIMIT 10;",15.749135880032554,True,"The product that has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri is 'Motor vehicles and parts'. The spending on this product category increased from $1250 per capita in 2010 to $2355 per capita in 2021, which is an increase rate of approximately 88.4%.",5.082780961995013,"[('Motor vehicles and parts', 2355.0, 1250.0, 0.884), ('Furnishings and durable household equipment', 1282.0, 706.0, 0.815864), ('Recreational goods and vehicles', 1349.0, 834.0, 0.61750597), ('Financial services and insurance', 3517.0, 2232.0, 0.57571685), ('Transportation services', 1251.0, 824.0, 0.51820385), ('Other nondurable goods', 4134.0, 2818.0, 0.46699786), ('Other durable goods', 687.0, 470.0, 0.46170214), ('Food services and accommodations', 2896.0, 1990.0, 0.45527637), ('Health care', 7892.0, 5603.0, 0.40853113), ('Clothing and footwear', 1217.0, 869.0, 0.4004603)]","The product that has seen the biggest increase in per capita consumer spending between 2010 and 2021 in Missouri is 'Motor vehicles and parts'. The spending on this product category increased from $1250 per capita in 2010 to $2355 per capita in 2021, representing a rate of change of approximately 88.4%."
"What is the total amount of consumer spending in the United States, and how has it changed over time?","SELECT year, SUM(value) as total_spending
FROM bea_personal_consumption_expenditures_aggregate
WHERE area_name = 'United States'
GROUP BY year
ORDER BY year ASC;--
-- This query calculates the total amount of consumer spending in the United States for each year by summing the values of all product categories. The results are ordered by year in ascending order to show the change over time.",SELECT value as total_spending FROM bea_personal_consumption_expenditures_aggregate WHERE product_category_name = 'Total personal consumption expenditures' AND area_type = 'Nationwide' AND year = 2021;,9.161635101016145,True,"The total amount of consumer spending in the United States has generally increased over time. In 1997, the total consumer spending was approximately $22.94 trillion. This amount increased each year, reaching approximately $59.99 trillion in 2019. However, there was a slight decrease in 2020, with the total consumer spending amounting to approximately $58.78 trillion. The spending then significantly increased in 2021, reaching approximately $66.18 trillion. Please note that these figures are in trillions of dollars.",14.321666100004222,"[(1997, 22941234000000.0), (1998, 24346420000000.0), (1999, 26011210000000.0), (2000, 27995918000000.0), (2001, 29289920000000.0), (2002, 30473198000000.0), (2003, 32101259000000.0), (2004, 34153080000000.0), (2005, 36392634000000.0), (2006, 38495024000000.0), (2007, 40455094000000.0), (2008, 41720452000000.0), (2009, 41163092000000.0), (2010, 42709340000000.0), (2011, 44518758000000.0), (2012, 45979387000000.0), (2013, 47292380000000.0), (2014, 49304480000000.0), (2015, 51077257000000.0), (2016, 52890438000000.0), (2017, 55120054000000.0), (2018, 57906376000000.0), (2019, 59985480000000.0), (2020, 58779430000000.0), (2021, 66176880000000.0)]",The total amount of consumer spending in the United States for the year 2021 was approximately $15.9 trillion. The query does not provide information on how this figure has changed over time.
What is the inflation rate?,"SELECT ((cpi_2023.value - cpi_2022.value)/cpi_2022.value) as inflation_rate 
FROM bls_consumer_price_index cpi_2023, bls_consumer_price_index cpi_2022 
WHERE cpi_2023.item_name = 'All items' 
AND cpi_2023.year = 2023 
AND cpi_2023.period_name = 'Annual' 
AND cpi_2023.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2023.area_name = 'U.S. city average' 
AND cpi_2022.item_name = 'All items' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_name = 'U.S. city average'
-- This query calculates the overall rate of inflation in the US for the most recent year (2023) compared to the previous year (2022)","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",24.03433237603167,True,The data needed to calculate the inflation rate for the year 2023 compared to the year 2022 is not available.,2.997205806954298,[],"The inflation rate for the U.S. city average from July 2022 to July 2023 for all items, not seasonally adjusted, is approximately 3.18%."
What was GDP in Washington in 2019?,"SELECT value 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Washington' AND measurement_name = 'Real GDP by state' AND industry_type = 'Total' AND year = 2019
-- This query selects the GDP value from the bea_gross_domestic_product_by_year table where the area is Washington, the measurement is Real GDP by state, the industry type is Total, and the year is 2019.",SELECT value as gdp_2019 FROM bea_gross_domestic_product_by_year WHERE area_name = 'Washington' AND measurement_name = 'Real GDP by state' AND year = 2019 AND industry_type = 'Total';,6.966959512035828,True,"The Gross Domestic Product (GDP) in Washington in 2019 was $533,150,400,000.",5.614616809005383,"[(533150400000.0,)]","The Gross Domestic Product (GDP) in Washington in 2019 was $533,150,400,000."
Which industries grew the most between 2010 and 2020 in Mississippi?,"SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change 
FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 
WHERE gdp2020.area_name = 'Mississippi' 
AND gdp2020.year = 2020 
AND gdp2020.industry_type = 'Sector' 
AND gdp2020.measurement_name = 'Real GDP by state' 
AND gdp2010.area_name = 'Mississippi' 
AND gdp2010.year = 2010 
AND gdp2010.industry_type = 'Sector' 
AND gdp2010.measurement_name = 'Real GDP by state' 
AND gdp2020.area_name = gdp2010.area_name 
AND gdp2020.industry_name = gdp2010.industry_name 
ORDER BY gdp_percent_change DESC;

-- This query selects the industry name and calculates the percentage change in GDP from 2010 to 2020 for each industry in Mississippi. It then orders the results in descending order by the percentage change in GDP.","SELECT gdp2020.industry_name, gdp2020.value AS value_2020, gdp2010.value AS value_2010, (gdp2020.value - gdp2010.value)/gdp2010.value AS gdp_percent_change FROM bea_gross_domestic_product_by_year AS gdp2020, bea_gross_domestic_product_by_year AS gdp2010 WHERE gdp2020.area_name = 'Mississippi' AND gdp2020.year = 2020 AND gdp2020.industry_type = 'Sector' AND gdp2020.measurement_name = 'Real GDP by state' AND gdp2010.area_name = 'Mississippi' AND gdp2010.year = 2010 AND gdp2010.industry_type = 'Sector' AND gdp2010.measurement_name = 'Real GDP by state' AND gdp2020.area_name = gdp2010.area_name AND gdp2020.industry_name = gdp2010.industry_name ORDER BY gdp_percent_change DESC;",39.37245771102607,True,"The industries that grew the most in Mississippi between 2010 and 2020 were:

1. Information, which grew by approximately 39.56% from $1,946,200,100 to $2,716,100,000.
2. Transportation and warehousing, which grew by approximately 20.15% from $3,163,599,900 to $3,801,000,000.
3. Finance, insurance, real estate, rental, and leasing, which grew by approximately 13.47% from $13,961,300,000 to $15,841,900,000.
4. Professional and business services, which grew by approximately 10.82% from $6,816,000,000 to $7,553,600,000.
5. Utilities, which grew by approximately 8.96% from $2,748,700,000 to $2,994,900,000.

On the other hand, the industries that shrank the most were:

1. Construction, which decreased by approximately 41.27% from $4,627,900,000 to $2,717,800,000.
2. Arts, entertainment, recreation, accommodation, and food services, which decreased by approximately 18.32% from $4,559,300,000 to $3,724,000,000.
3. Military, which decreased by approximately 14.57% from $2,264,900,000 to $1,934,800,000.
4. Other services (except government and government enterprises), which decreased by approximately 11.83% from $2,364,400,100 to $2,084,600,100.
5. State and local, which decreased by approximately 8.21% from $12,597,500,000 to $11,563,700,000.",29.111207375011873,"[('Information', 2716100000.0, 1946200100.0, 0.3955914), ('Transportation and warehousing', 3801000000.0, 3163599900.0, 0.20147936), ('Finance, insurance, real estate, rental, and leasing', 15841900000.0, 13961300000.0, 0.1347009), ('Professional and business services', 7553600000.0, 6816000000.0, 0.108215965), ('Utilities', 2994900000.0, 2748700000.0, 0.08956964), ('Retail trade', 8456300000.0, 7770600000.0, 0.08824287), ('Wholesale trade', 5326500000.0, 4981000000.0, 0.069363505), ('Educational services, health care, and social assistance', 8863700000.0, 8374000000.0, 0.058478605), ('Federal civilian', 3156300000.0, 2991600100.0, 0.055054117), ('Manufacturing', 15898100000.0, 15410100000.0, 0.03166751), ('Mining, quarrying, and oil and gas extraction', 1507100000.0, 1535100000.0, -0.018239854), ('Agriculture, forestry, fishing and hunting', 2431800000.0, 2568000000.0, -0.053037357), ('State and local', 11563700000.0, 12597500000.0, -0.082063876), ('Other services (except government and government enterprises)', 2084600100.0, 2364400100.0, -0.11833871), ('Military', 1934800000.0, 2264900000.0, -0.145746), ('Arts, entertainment, recreation, accommodation, and food services', 3724000000.0, 4559300000.0, -0.18320796), ('Construction', 2717800000.0, 4627900000.0, -0.4127358)]","The industries that grew the most in Mississippi between 2010 and 2020 were:

1. Information, which grew by approximately 39.56% from $1,946,200,100 to $2,716,100,000.
2. Transportation and warehousing, which grew by approximately 20.15% from $3,163,599,900 to $3,801,000,000.
3. Finance, insurance, real estate, rental, and leasing, which grew by approximately 13.47% from $13,961,300,000 to $15,841,900,000.
4. Professional and business services, which grew by approximately 10.82% from $6,816,000,000 to $7,553,600,000.
5. Utilities, which grew by approximately 8.96% from $2,748,700,000 to $2,994,900,000.

On the other hand, the industries that shrank the most were:

1. Construction, which shrank by approximately 41.27% from $4,627,900,000 to $2,717,800,000.
2. Arts, entertainment, recreation, accommodation, and food services, which shrank by approximately 18.32% from $4,559,300,000 to $3,724,000,000.
3. Military, which shrank by approximately 14.57% from $2,264,900,000 to $1,934,800,000.
4. Other services (except government and government enterprises), which shrank by approximately 11.83% from $2,364,400,100 to $2,084,600,100.
5. State and local, which shrank by approximately 8.21% from $12,597,500,000 to $11,563,700,000."
What industries most impacted GDP in Oklahoma in 1979?,"SELECT industry_name, value as GDP 
FROM bea_gross_domestic_product_by_year 
WHERE area_name = 'Oklahoma' AND year = 1979 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' 
ORDER BY value DESC--
-- This query selects the industry name and its corresponding GDP value from the bea_gross_domestic_product_by_year table where the area is Oklahoma, the year is 1979, the industry type is 'Sector', and the measurement name is 'Real GDP by state'. The results are ordered in descending order by the GDP value to show the industries that most impacted the GDP.","SELECT industry_name, value as GDP FROM bea_gross_domestic_product_by_year WHERE area_name = 'Oklahoma' AND year = 1979 AND industry_type = 'Sector' AND measurement_name = 'Real GDP by state' ORDER BY value DESC",9.464169662969653,True,"The industries that most impacted GDP in Oklahoma in 1979 were 'State and local' with a GDP of $6,510,800,000, followed by 'Manufacturing' with a GDP of $6,208,700,000, and 'Retail trade' with a GDP of $4,928,000,000. 'Construction' and 'Federal civilian' also had significant impacts with GDPs of $3,820,900,000 and $3,637,500,000 respectively. 'Wholesale trade' and 'Military' had lesser impacts with GDPs of $2,808,100,000 and $1,574,400,000 respectively.",5.697674127994105,"[('State and local', 6510800000.0), ('Manufacturing', 6208700000.0), ('Retail trade', 4928000000.0), ('Construction', 3820900000.0), ('Federal civilian', 3637500000.0), ('Wholesale trade', 2808100000.0), ('Military', 1574400000.0)]","The industries that most impacted GDP in Oklahoma in 1979 were 'State and local' with a GDP of $6,510,800,000, followed by 'Manufacturing' with a GDP of $6,208,700,000, and 'Retail trade' with a GDP of $4,928,000,000. Other significant industries included 'Construction' with a GDP of $3,820,900,000, 'Federal civilian' with a GDP of $3,637,500,000, 'Wholesale trade' with a GDP of $2,808,100,000, and 'Military' with a GDP of $1,574,400,000."
Is the cost of living rising?,"SELECT 
    (cpi_2022.value - cpi_2021.value)/cpi_2021.value as inflation_rate 
FROM 
    bls_consumer_price_index cpi_2022, 
    bls_consumer_price_index cpi_2021 
WHERE 
    cpi_2022.item_name = 'All items' 
    AND cpi_2022.year = 2022 
    AND cpi_2022.period_name = 'Annual' 
    AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
    AND cpi_2022.area_type = 'Nationwide' 
    AND cpi_2021.item_name = 'All items' 
    AND cpi_2021.year = 2021 
    AND cpi_2021.period_name = 'Annual' 
    AND cpi_2021.seasonal = 'Not Seasonally Adjusted' 
    AND cpi_2021.area_type = 'Nationwide'--

-- This query calculates the overall rate of inflation for the entire US from 2021 to 2022 (the most recent year), which is a common measure of the change in cost of living.","SELECT (cpi_july_2023.value - cpi_july_2022.value)/cpi_july_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_july_2023, bls_consumer_price_index cpi_july_2022 WHERE cpi_july_2023.area_name = 'U.S. city average' AND cpi_july_2023.item_name = 'All items' AND cpi_july_2023.year = 2023 AND cpi_july_2023.period_name = 'July' AND cpi_july_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_july_2022.area_name = 'U.S. city average' AND cpi_july_2022.item_name = 'All items' AND cpi_july_2022.year = 2022 AND cpi_july_2022.period_name = 'July' AND cpi_july_2022.seasonal = 'Not Seasonally Adjusted' -- this query calculates the overall rate of inflation in the US for the most recently-available month (July 2023) compared to the same month in the prior year (July 2022)",21.901186970004346,True,"The data needed to determine if the cost of living is rising is not available. The query was supposed to calculate the overall rate of inflation for the entire US from 2021 to 2022, which is a common measure of the change in cost of living, but it returned no results. Therefore, based on the available data, it's not possible to answer the question.",10.238644021970686,[],"Yes, the cost of living is rising. The rate of inflation from July 2022 to July 2023 for the U.S. city average was approximately 3.18%. This means that on average, the cost of all items has increased by this percentage over the year."
What percent of employees quit their jobs in the Leisure and hospitality industry in December 2022?,"SELECT data_element, industry_name, value 
FROM bls_job_turnover 
WHERE data_element = 'Quits' 
AND industry_name = 'Leisure and hospitality' 
AND state = 'Total US' 
AND size_class = 'All size classes' 
AND rate_level = 'Rate' 
AND year = 2022 
AND month_name = 'December' 
AND seasonal = 'Seasonally Adjusted';
-- This query selects the data element, industry name, and value from the bls_job_turnover table where the data element is 'Quits', the industry name is 'Leisure and hospitality', the state is 'Total US', the size class is 'All size classes', the rate level is 'Rate', the year is 2022, the month name is 'December', and the data is seasonally adjusted. This will return the percentage of employees who quit their jobs in the Leisure and hospitality industry in December 2022.","SELECT data_element, industry_name, value FROM bls_job_turnover WHERE data_element = 'Quits' AND industry_name = 'Leisure and hospitality' AND state = 'Total US' AND size_class = 'All size classes' AND rate_level = 'Rate' AND year = 2022 AND month_name = 'December' AND seasonal = 'Seasonally Adjusted';",19.03068546700524,True,"In December 2022, 4.9% of employees quit their jobs in the Leisure and Hospitality industry in the United States.",10.49534240301,"[('Quits', 'Leisure and hospitality', 0.049)]","In December 2022, 4.9% of employees quit their jobs in the Leisure and Hospitality industry in the United States."
