question,SQL Query,ground_truth,nl_to_sql_execution_time,ground_truth_validity,SQL-to-NL response,sql_to_nl_execution_time,SQL Query Results,Ground Truth SQL-to-NL response,retries
What jobs have grown the most since 2020?,"SELECT bls2021.industry_name, bls2021.value AS value_2021, bls2020.value AS value_2020, (bls2021.value - bls2020.value)/bls2020.value AS job_growth 
FROM bls_current_employment AS bls2021, bls_current_employment AS bls2020 
WHERE bls2021.year = 2021 AND bls2021.period_name = 'Annual' AND bls2020.year = 2020 AND bls2020.period_name = 'Annual' 
AND bls2021.industry_name = bls2020.industry_name 
ORDER BY job_growth DESC;

-- This query selects the industry name and calculates the job growth from 2020 to 2021. It does this by joining the bls_current_employment table with itself on the industry_name column, and then calculating the job growth as the difference in value (employment) between the two years divided by the value in 2020. The result is ordered in descending order by job growth to show the industries with the most growth at the top.","SELECT ce_2023.industry_name, (ce_2023.value - ce_2020.value)/ce_2020.value as rate_of_increase FROM bls_current_employment ce_2023, bls_current_employment ce_2020 WHERE ce_2023.data_type = 'ALL EMPLOYEES, THOUSANDS' AND ce_2023.period_name = 'July' AND ce_2023.year = 2023 AND ce_2023.seasonal = 'Seasonally Adjusted' AND ce_2020.data_type = 'ALL EMPLOYEES, THOUSANDS' AND ce_2020.period_name = 'January' AND ce_2020.year = 2020 AND ce_2020.seasonal = 'Seasonally Adjusted' AND ce_2023.industry_name = ce_2020.industry_name ORDER BY rate_of_increase DESC LIMIT 10 -- calculates the rate of increase in the number of employees in each industry since January 2020 and selects the top 25",22.008365066023543,True,"The query did not return any results. Therefore, it's not possible to determine which jobs have grown the most since 2020 based on the provided data.",2.9109997369814664,[],"The jobs that have grown the most since 2020 are as follows:

1. Warehousing and storage jobs have grown by approximately 46.03%.
2. Computing infrastructure providers, data processing, web hosting, and related services jobs have grown by approximately 36.18%.
3. Scientific research and development services jobs have grown by approximately 23.99%.
4. Couriers and messengers jobs have grown by approximately 23.28%.
5. Management, scientific, and technical consulting services jobs have grown by approximately 20.94%.
6. Community food and housing, and emergency and other relief services jobs have grown by approximately 17.38%.
7. Other professional, scientific, and technical services jobs have grown by approximately 16.84%.
8. Transportation and warehousing jobs have grown by approximately 15.73%.
9. Offices of other health practitioners jobs have grown by approximately 13.94%.
10. Office administrative services jobs have grown by approximately 13.91%.

These percentages represent the rate of increase in the number of employees in each industry since January 2020.",0
How does inflation in the Miami area compare to the rest of the United States?,"SELECT miami_2022.area_name, ((miami_2022.value - miami_2017.value)/miami_2017.value) as miami_inflation_rate, 
       us_2022.area_name, ((us_2022.value - us_2017.value)/us_2017.value) as us_inflation_rate 
FROM bls_consumer_price_index miami_2022, bls_consumer_price_index miami_2017, 
     bls_consumer_price_index us_2022, bls_consumer_price_index us_2017 
WHERE miami_2022.item_name = 'All items' AND miami_2022.year = 2022 AND miami_2022.period_name = 'Annual' 
      AND miami_2022.seasonal = 'Not Seasonally Adjusted' AND miami_2022.area_name = 'Miami-Fort Lauderdale-West Palm Beach, FL' 
      AND miami_2017.item_name = 'All items' AND miami_2017.year = 2017 AND miami_2017.period_name = 'Annual' 
      AND miami_2017.seasonal = 'Not Seasonally Adjusted' AND miami_2017.area_name = 'Miami-Fort Lauderdale-West Palm Beach, FL' 
      AND us_2022.item_name = 'All items' AND us_2022.year = 2022 AND us_2022.period_name = 'Annual' 
      AND us_2022.seasonal = 'Not Seasonally Adjusted' AND us_2022.area_name = 'U.S. city average' 
      AND us_2017.item_name = 'All items' AND us_2017.year = 2017 AND us_2017.period_name = 'Annual' 
      AND us_2017.seasonal = 'Not Seasonally Adjusted' AND us_2017.area_name = 'U.S. city average'

-- This query calculates the overall rate of inflation for the Miami area and the U.S. city average over the last 5 years.","SELECT cpi_2022.area_name, (cpi_2023.value - cpi_2022.value)/cpi_2022.value as rate_of_inflation FROM bls_consumer_price_index cpi_2023, bls_consumer_price_index cpi_2022 WHERE cpi_2023.area_name IN ('Miami-Fort Lauderdale-West Palm Beach, FL', 'U.S. city average') AND cpi_2023.item_name = 'All items' AND cpi_2023.seasonal = 'Not Seasonally Adjusted' AND cpi_2023.period_name = 'June' AND cpi_2023.year = '2023' AND cpi_2022.area_name IN ('Miami-Fort Lauderdale-West Palm Beach, FL', 'U.S. city average') AND cpi_2022.item_name = 'All items' AND cpi_2022.seasonal = 'Not Seasonally Adjusted' AND cpi_2022.period_name = 'June' AND cpi_2022.year = '2022' AND cpi_2023.area_name = cpi_2022.area_name -- calculates the rate of inflation for the Miami area compared to the entire US from June 2022 to June 2023",36.00643697299529,True,"The inflation rate in the Miami-Fort Lauderdale-West Palm Beach, FL area over the last 5 years was approximately 21.34%. In comparison, the average inflation rate for U.S. cities over the same period was slightly lower at approximately 19.39%. Therefore, the inflation in the Miami area has been higher than the average for U.S. cities.",4.43876710900804,"[('Miami-Fort Lauderdale-West Palm Beach, FL', 0.21336992, 'U.S. city average', 0.19392544)]","The rate of inflation in the Miami-Fort Lauderdale-West Palm Beach, FL area from June 2022 to June 2023 was approximately 6.94%. In comparison, the average rate of inflation for U.S. cities during the same period was approximately 2.97%. Therefore, the inflation rate in the Miami area was significantly higher than the average for U.S. cities.",0
What is the median salary in Washington state?,"SELECT location_name, value * 52 AS median_annual_income 
FROM bls_earnings 
WHERE year = (SELECT MAX(year) FROM bls_earnings) 
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' 
AND location_name = 'Washington' 
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A';
-- This query selects the median annual income for Washington state by multiplying the median weekly earnings by 52 (weeks in a year). The query filters for the most recent year and includes all industries, occupations, education levels, age groups, races, national origins, sexes, and native/foreign born statuses.","SELECT year, MAX(value) * 52 as median_annual_salary FROM bls_earnings WHERE location_name = 'Washington' AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' AND union_status = 'N/A' AND industry_name = 'All Industries' AND occupation_name = 'All Occupations' AND age = '16 years and over' AND race = 'All Races' AND national_origin = 'All Origins' AND sex = 'Both Sexes' AND native_foreign_born = 'N/A' GROUP BY year ORDER BY year DESC LIMIT 10",26.009086058998946,True,"The median annual salary in Washington state is $62,244.",1.2715537179610692,"[('Washington', 62244.0)]","The median annual salary in Washington state has been increasing over the years. In 2013, it was $45,864. It increased to $47,736 in 2014, then slightly decreased to $47,268 in 2015. In 2016, it increased again to $48,308 and continued to rise to $49,972 in 2017. In 2018, the median salary was $52,988, and it increased to $53,352 in 2019. In 2020, it rose to $57,668, and in 2021, it was $59,228. As of 2022, the median annual salary in Washington state is $62,244.",0
How about California?,"SELECT year, value 
FROM bls_local_area_unemployment_statistics 
WHERE area_name = 'California' AND measure = 'unemployment rate' AND area_type = 'statewide' AND year >= 2020 
ORDER BY year DESC 
LIMIT 10;
-- This query selects the year and unemployment rate value from the bls_local_area_unemployment_statistics table for the state of California for the years 2020 and onwards. The results are ordered by year in descending order and limited to the top 10 results.",Not Found,11.085343269980513,False,The unemployment rate in California for the year 2023 varied between 0.042 and 0.049. These values represent the proportion of the labor force that is jobless and actively seeking employment.,5.188563924981281,"[(2023, 0.045), (2023, 0.044), (2023, 0.048), (2023, 0.048), (2023, 0.045), (2023, 0.043), (2023, 0.048), (2023, 0.046), (2023, 0.049), (2023, 0.042)]","I'm sorry, but I can't provide the information you're asking for about California because there was no SQL query executed.",0
How has the employment rate changed each year since 2020 for the top industries?,"SELECT year, industry_name, value 
FROM bls_current_employment 
WHERE year >= 2020 AND period_name = 'Annual Average' AND data_type = 'ALL EMPLOYEES, THOUSANDS' AND industry_name IN 
(SELECT industry_name FROM bls_current_employment WHERE year = 2020 AND period_name = 'Annual Average' AND data_type = 'ALL EMPLOYEES, THOUSANDS' ORDER BY value DESC LIMIT 10)
ORDER BY year ASC, value DESC;
-- This query selects the year, industry name, and value from the bls_current_employment table where the year is 2020 or later, the period name is 'Annual Average', and the data type is 'ALL EMPLOYEES, THOUSANDS'. It also limits the industries to the top 10 industries with the highest employment in 2020. The results are ordered by year in ascending order and value in descending order to show the employment rate change each year for the top industries.",Not Found,24.569017571979202,False,"The employment rate for the top industries has generally increased each year since 2020. 

In 2020, the industry with the highest employment was 'Total nonfarm' with 142,186,000 employees, followed by 'Service-providing' with 122,163,000 employees, and 'Total private' with 120,200,000 employees. 

In 2021, the employment in 'Total nonfarm' increased to 146,284,990, 'Service-providing' increased to 125,935,000, and 'Total private' increased to 124,311,000. 

In 2022, the employment further increased with 'Total nonfarm' reaching 152,575,010, 'Service-providing' reaching 131,397,000, and 'Total private' reaching 130,404,000. 

Other industries such as 'Private service-providing', 'Trade, transportation, and utilities', 'Private education and health services', 'Government', 'Professional and business services', 'Goods-producing', and 'Health care and social assistance' also saw an increase in employment each year from 2020 to 2022.",,"[(2020, 'Total nonfarm', 142186000.0), (2020, 'Service-providing', 122163000.0), (2020, 'Total private', 120200000.0), (2020, 'Private service-providing', 100177000.0), (2020, 'Trade, transportation, and utilities', 26624000.0), (2020, 'Private education and health services', 23275000.0), (2020, 'Government', 21986000.0), (2020, 'Professional and business services', 20376000.0), (2020, 'Goods-producing', 20023000.0), (2020, 'Health care and social assistance', 19796300.0), (2021, 'Total nonfarm', 146284990.0), (2021, 'Service-providing', 125935000.0), (2021, 'Total private', 124311000.0), (2021, 'Private service-providing', 103961000.0), (2021, 'Trade, transportation, and utilities', 27653000.0), (2021, 'Private education and health services', 23652000.0), (2021, 'Government', 21973000.0), (2021, 'Professional and business services', 21386000.0), (2021, 'Goods-producing', 20350000.0), (2021, 'Health care and social assistance', 20065100.0), (2022, 'Total nonfarm', 152575010.0), (2022, 'Service-providing', 131397000.0), (2022, 'Total private', 130404000.0), (2022, 'Private service-providing', 109226000.0), (2022, 'Trade, transportation, and utilities', 28643000.0), (2022, 'Private education and health services', 24350000.0), (2022, 'Professional and business services', 22572000.0), (2022, 'Government', 22171000.0), (2022, 'Goods-producing', 21178000.0), (2022, 'Health care and social assistance', 20554900.0)]","I'm sorry, but I can't provide the information you're looking for because the SQL query provided is empty and therefore, no data was retrieved from the database.",1
How has the employment rate changed over the years for individuals with different levels of education?,"SELECT year, level_of_education, value as employment_rate 
FROM bls_labor_force_statistics 
WHERE labor_force_status = 'Employment-population ratio' 
AND age_group = '25 years and over' 
AND period_name = 'Annual' 
AND level_of_education != 'All educational levels' 
ORDER BY year, level_of_education;
-- This query selects the year, level of education, and employment rate from the labor force statistics table where the labor force status is 'Employment-population ratio', the age group is '25 years and over', and the period is 'Annual'. It excludes rows where the level of education is 'All educational levels'. The results are ordered by year and level of education.",Not Found,7.744147242046893,False,"The database does not contain any information regarding the employment rate changes over the years for individuals with different levels of education. Therefore, it is not possible to provide an answer to the question based on the current data.",2.519253704987932,[],"I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing. Therefore, no data was retrieved and I can't tell how the employment rate has changed over the years for individuals with different levels of education.",0
What is the employment rate trend over the years in the US?,"SELECT year, AVG(value) as employment_rate 
FROM bls_labor_force_statistics 
WHERE labor_force_status = 'Employment-population ratio' 
AND age_group = '16 years and over' 
AND foreign_native_born = 'N/A' 
AND level_of_education = 'All educational levels' 
AND industry_name = 'All Industries' 
AND occupation = 'All Occupations' 
AND hispanic_origin = 'All Origins' 
AND race = 'All Races' 
AND sex = 'Both Sexes' 
GROUP BY year 
ORDER BY year;
-- This query calculates the average employment rate for each year for the entire US population aged 16 and over, across all industries and occupations, regardless of race, sex, and origin. The employment rate is defined as the proportion of the population that is employed.","SELECT year, value FROM bls_current_employment WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' ORDER BY year DESC LIMIT 10;",20.546149164030794,True,The data needed to determine the employment rate trend over the years in the US is not available.,5.370378981984686,[],"The employment rate in the US has generally been increasing over the past decade. In 2013, the total nonfarm employment was 136,363,010. This number increased each year, reaching 138,939,010 in 2014, 141,824,000 in 2015, 144,335,010 in 2016, 146,607,010 in 2017, and 148,908,000 in 2018. There was a significant increase in 2019, with the employment rate reaching 150,904,000. However, there was a decrease in 2020, with the employment rate dropping to 142,186,000, likely due to the impact of the COVID-19 pandemic. The rate started to recover in 2021, reaching 146,284,990, and further increased to 152,575,010 in 2022.",0
How does the employment rate vary with the level of education in 2021?,"SELECT level_of_education, value as employment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' AND year = 2021 AND labor_force_status = 'Employment-population ratio' 
-- This query selects the level of education and employment rate from the bls_labor_force_statistics table for the year 2021. The labor force status is set to 'Employment-population ratio' to get the employment rate.",Not Found,11.575496480974834,False,The database does not contain any information about the employment rate variation with the level of education for the year 2021.,4.428489062993322,[],"I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing. Therefore, no data was retrieved and I can't tell how the employment rate varies with the level of education in 2021.",0
How has the cost of living changed since 2010 in King County Washington?,"SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2010.value) / cpi_2010.value) AS inflation_rate 
FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2010 
WHERE cpi_2022.item_name = 'All items' 
AND cpi_2022.year = 2022 
AND cpi_2022.period_name = 'Annual' 
AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2022.area_name = 'King County, WA' 
AND cpi_2010.item_name = 'All items' 
AND cpi_2010.year = 2010 
AND cpi_2010.period_name = 'Annual' 
AND cpi_2010.seasonal = 'Not Seasonally Adjusted' 
AND cpi_2010.area_name = 'King County, WA' 

-- This query calculates the overall rate of inflation in King County, Washington from 2010 to 2022 (the most recent year available) by comparing the Consumer Price Index (CPI) for all items in these two years. The CPI is a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services, and is often used to measure inflation. The inflation rate is calculated as the percentage change in the CPI from 2010 to 2022.",Not Found,21.71134235599311,False,"The data needed to answer the question about how the cost of living has changed since 2010 in King County, Washington is not available. The query executed did not return any results.",2.8140645409584977,[],"I'm sorry, but I can't provide the information you're looking for because the SQL query that was supposed to retrieve the data is missing.",0
How does this compare to the other major cities in the United States?,"SELECT area_name, value 
FROM bls_consumer_price_index 
WHERE item_name = 'All items' AND year = 2022 AND period_name = 'Annual' AND area_type = 'Metro' 
ORDER BY value DESC 
LIMIT 10 
-- This query selects the area_name and value from the bls_consumer_price_index table for all items in the year 2022 for the annual period and for metro areas. It then orders the results by value in descending order and limits the results to the top 10. This will give us the inflation rates for the top 10 major cities in the United States.",Not Found,13.454790446034167,False,"The top 10 major cities in the United States in terms of the consumer price index for all items in the year 2022 are as follows:

1. San Diego-Carlsbad, CA with a value of 344.416
2. San Francisco-Oakland-Hayward, CA with a value of 327.06
3. Seattle-Tacoma-Bellevue, WA with a value of 322.167
4. Boston-Cambridge-Newton, MA-NH with a value of 314.356
5. Miami-Fort Lauderdale-West Palm Beach, FL with a value of 311.449
6. Los Angeles-Long Beach-Anaheim, CA with a value of 310.782
7. New York-Newark-Jersey City, NY-NJ-PA with a value of 310.141
8. Denver-Aurora-Lakewood, CO with a value of 304.424
9. Washington-Arlington-Alexandria, DC-VA-MD-WV with a value of 296.117
10. Baltimore-Columbia-Towson, MD with a value of 294.853

These values represent the consumer price index for each city, which is a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services. The higher the value, the higher the cost of living in that city.",18.308371355000418,"[('San Diego-Carlsbad, CA', 344.416), ('San Francisco-Oakland-Hayward, CA', 327.06), ('Seattle-Tacoma-Bellevue WA', 322.167), ('Boston-Cambridge-Newton, MA-NH', 314.356), ('Miami-Fort Lauderdale-West Palm Beach, FL', 311.449), ('Los Angeles-Long Beach-Anaheim, CA', 310.782), ('New York-Newark-Jersey City, NY-NJ-PA', 310.141), ('Denver-Aurora-Lakewood, CO', 304.424), ('Washington-Arlington-Alexandria, DC-VA-MD-WV', 296.117), ('Baltimore-Columbia-Towson, MD', 294.853)]","I'm sorry, but I can't provide the comparison with other major cities in the United States because the SQL query provided is empty and no results were produced. Please provide a valid SQL query.",0
